szbin	svtype	SRMAPQ	SRQ	SMACUIX7SY21_GQ	False	True
>=5k	DEL	(0.999, 60.0]	[0.967, 0.983)	[100.0, 1000.0)	0	1
>=5k	DEL	(0.999, 60.0]	[0.983, 1.0)	[0.0, 100.0)	0	14
>=5k	DEL	(0.999, 60.0]	[0.983, 1.0)	[100.0, 1000.0)	0	5
[100,200)	DEL	(0.999, 60.0]	[0.95, 0.967)	[0.0, 100.0)	4	2
[100,200)	DEL	(0.999, 60.0]	[0.95, 0.967)	[100.0, 1000.0)	1	2
[100,200)	DEL	(0.999, 60.0]	[0.967, 0.983)	[0.0, 100.0)	7	6
[100,200)	DEL	(0.999, 60.0]	[0.967, 0.983)	[100.0, 1000.0)	4	1
[100,200)	DEL	(0.999, 60.0]	[0.983, 1.0)	[0.0, 100.0)	35	32
[100,200)	DEL	(0.999, 60.0]	[0.983, 1.0)	[100.0, 1000.0)	27	19
[100,200)	DEL	(60.0, 70.0]	[0.967, 0.983)	[100.0, 1000.0)	0	1
[100,200)	DEL	(60.0, 70.0]	[0.983, 1.0)	[0.0, 100.0)	3	0
[1k,2.5k)	DEL	(0.999, 60.0]	[0.95, 0.967)	[100.0, 1000.0)	0	1
[1k,2.5k)	DEL	(0.999, 60.0]	[0.967, 0.983)	[100.0, 1000.0)	0	1
[1k,2.5k)	DEL	(0.999, 60.0]	[0.983, 1.0)	[0.0, 100.0)	0	11
[1k,2.5k)	DEL	(0.999, 60.0]	[0.983, 1.0)	[100.0, 1000.0)	1	8
[2.5k,5k)	DEL	(0.999, 60.0]	[0.967, 0.983)	[100.0, 1000.0)	0	3
[2.5k,5k)	DEL	(0.999, 60.0]	[0.983, 1.0)	[0.0, 100.0)	0	7
[2.5k,5k)	DEL	(0.999, 60.0]	[0.983, 1.0)	[100.0, 1000.0)	0	8
[200,300)	DEL	(0.999, 60.0]	[0.95, 0.967)	[0.0, 100.0)	2	0
[200,300)	DEL	(0.999, 60.0]	[0.95, 0.967)	[100.0, 1000.0)	2	1
[200,300)	DEL	(0.999, 60.0]	[0.967, 0.983)	[0.0, 100.0)	6	1
[200,300)	DEL	(0.999, 60.0]	[0.967, 0.983)	[100.0, 1000.0)	4	0
[200,300)	DEL	(0.999, 60.0]	[0.983, 1.0)	[0.0, 100.0)	22	19
[200,300)	DEL	(0.999, 60.0]	[0.983, 1.0)	[100.0, 1000.0)	8	17
[200,300)	DEL	(60.0, 70.0]	[0.967, 0.983)	[100.0, 1000.0)	1	0
[200,300)	DEL	(60.0, 70.0]	[0.983, 1.0)	[0.0, 100.0)	1	0
[300,400)	DEL	(0.999, 60.0]	[0.95, 0.967)	[0.0, 100.0)	3	2
[300,400)	DEL	(0.999, 60.0]	[0.95, 0.967)	[100.0, 1000.0)	1	1
[300,400)	DEL	(0.999, 60.0]	[0.967, 0.983)	[0.0, 100.0)	3	5
[300,400)	DEL	(0.999, 60.0]	[0.967, 0.983)	[100.0, 1000.0)	2	2
[300,400)	DEL	(0.999, 60.0]	[0.983, 1.0)	[0.0, 100.0)	8	99
[300,400)	DEL	(0.999, 60.0]	[0.983, 1.0)	[100.0, 1000.0)	3	67
[400,600)	DEL	(0.999, 60.0]	[0.967, 0.983)	[0.0, 100.0)	1	0
[400,600)	DEL	(0.999, 60.0]	[0.983, 1.0)	[0.0, 100.0)	0	10
[400,600)	DEL	(0.999, 60.0]	[0.983, 1.0)	[100.0, 1000.0)	0	6
[50,100)	DEL	(0.999, 60.0]	[0.95, 0.967)	[0.0, 100.0)	5	6
[50,100)	DEL	(0.999, 60.0]	[0.95, 0.967)	[100.0, 1000.0)	3	1
[50,100)	DEL	(0.999, 60.0]	[0.967, 0.983)	[0.0, 100.0)	5	18
[50,100)	DEL	(0.999, 60.0]	[0.967, 0.983)	[100.0, 1000.0)	5	8
[50,100)	DEL	(0.999, 60.0]	[0.983, 1.0)	[0.0, 100.0)	17	89
[50,100)	DEL	(0.999, 60.0]	[0.983, 1.0)	[100.0, 1000.0)	17	37
[50,100)	DEL	(60.0, 70.0]	[0.967, 0.983)	[0.0, 100.0)	0	1
[50,100)	DEL	(60.0, 70.0]	[0.983, 1.0)	[0.0, 100.0)	2	20
[50,100)	DEL	(60.0, 70.0]	[0.983, 1.0)	[100.0, 1000.0)	2	7
[50,100)	INS	(0.999, 60.0]	[0.95, 0.967)	[0.0, 100.0)	0	1
[50,100)	INS	(0.999, 60.0]	[0.95, 0.967)	[100.0, 1000.0)	0	2
[50,100)	INS	(0.999, 60.0]	[0.967, 0.983)	[0.0, 100.0)	0	2
[50,100)	INS	(0.999, 60.0]	[0.967, 0.983)	[100.0, 1000.0)	0	2
[50,100)	INS	(0.999, 60.0]	[0.983, 1.0)	[0.0, 100.0)	1	12
[50,100)	INS	(0.999, 60.0]	[0.983, 1.0)	[100.0, 1000.0)	0	6
[600,800)	DEL	(0.999, 60.0]	[0.95, 0.967)	[100.0, 1000.0)	1	0
[600,800)	DEL	(0.999, 60.0]	[0.967, 0.983)	[100.0, 1000.0)	0	1
[600,800)	DEL	(0.999, 60.0]	[0.983, 1.0)	[0.0, 100.0)	0	8
[600,800)	DEL	(0.999, 60.0]	[0.983, 1.0)	[100.0, 1000.0)	0	3
[800,1k)	DEL	(0.999, 60.0]	[0.95, 0.967)	[100.0, 1000.0)	1	0
[800,1k)	DEL	(0.999, 60.0]	[0.983, 1.0)	[0.0, 100.0)	0	5
[800,1k)	DEL	(0.999, 60.0]	[0.983, 1.0)	[100.0, 1000.0)	0	2
