feature	value	obs	acc	delta	q1	q50	q99	pval	adj_pval	reject
SRQ	[0.983, 1.0)	6232	0.7739	16.366	-10.3834	0.0	10.3147	0.0001		False
szbin	[50,100)	1924	0.841	9.9649	-12.3338	0.0	12.3338	0.0306		False
szbin	[1k,2.5k)	755	0.8901	13.7296	-17.0692	0.0	17.2547	0.0342		False
SRMAPQ	(0.999, 60.0]	7283	0.7189	8.5818	-11.8	0.0	12.1585	0.051		False
SMACUIX7SY21_GQ	[0, 100)	613	0.6966	1.4303	-12.0682	-0.0894	11.8894	0.3841		False
SMACUIX7SY21_GQ	nan	8053	0.6919	1.1597	-10.7998	0.0	10.8722	0.399		False
SMACUIX7SY21_GQ	[100, 1000)	353	0.6714	-5.1868	-15.5604	0.0	15.7241	0.7749		False
szbin	[300,400)	2114	0.6921	-5.2059	-14.8946	0.0	14.8946	0.7886		False
SRQ	[0.967, 0.983)	880	0.4898	-4.6371	-12.1355	-0.0987	12.5301	0.8064		False
szbin	[400,600)	614	0.5342	-7.294	-15.5604	0.1621	15.3984	0.8572		False
SRQ	[0.95, 0.967)	413	0.3971	-12.0025	-14.8946	0.0	15.1838	0.9685		False
SRQ	nan	1494	0.5475	-11.2979	-12.7624	0.0	12.7624	0.9791		False
SRMAPQ	nan	1494	0.5475	-11.2979	-12.6578	-0.1046	12.5532	0.9803		False
szbin	[200,300)	912	0.3969	-20.3222	-17.9185	0.0	18.137	0.9969		False
szbin	[100,200)	1215	0.516	-18.8022	-15.5604	0.0	15.8846	0.9977		False
szbin	>=5k	583	0.6655	6.4364						False
svtype	DEL	8752	0.6826	-16.8571						False
SRMAPQ	(60.0, 70.0]	242	0.7521	4.2143						False
szbin	[600,800)	263	0.8099	8.2807						False
szbin	[800,1k)	207	0.8647	10.1845						False
szbin	[2.5k,5k)	432	0.8935	12.3364						False
svtype	INS	267	0.9813	16.8571						False
