chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp	state
chr20	278900	279186	3	3	1	0	True	4	4	0	0	TP
chr20	420555	420770	2	2	0	0	False	2	2	0	0	TP
chr20	641836	642465	3	3	2	0	True	5	5	0	0	TP
chr20	709729	709975	2	2	0	0	False	2	2	0	0	TP
chr20	1149807	1150220	2	2	0	0	False	2	2	0	0	TP
chr20	1257933	1260528	2	2	0	0	False	2	2	0	0	TP
chr20	1301599	1302667	2	2	0	0	False	2	2	0	0	TP
chr20	2240925	2241726	1	1	5	1	True	6	6	0	0	TP
chr20	2442966	2443943	2	2	0	0	False	2	2	0	0	TP
chr20	2842574	2842997	2	2	0	0	False	2	2	0	0	TP
chr20	4032219	4033601	2	2	2	1	True	4	4	0	0	TP
chr20	4482585	4482734	2	2	0	0	False	2	2	0	0	TP
chr20	4811159	4811229	1	1	0	0	False	1	1	0	0	TP
chr20	4844738	4844906	2	2	0	0	False	2	2	0	0	TP
chr20	5039949	5040499	0	0	0	2	True	0	0	0	2	FP
chr20	5041857	5042709	1	1	1	1	True	2	2	0	1	FP
chr20	5554104	5554185	0	0	0	0	False	0	0	0	0	TN
chr20	5962327	5962410	0	0	0	0	False	0	0	0	0	TN
chr20	7435215	7435749	2	2	0	0	False	2	2	0	0	TP
chr20	7719330	7719414	1	1	0	0	False	1	1	0	0	TP
chr20	7720911	7721003	1	1	1	0	True	1	1	1	0	FN
chr20	7721059	7721319	0	0	0	0	False	0	0	0	0	TN
chr20	8661911	8662657	1	1	3	1	True	9	9	0	0	TP
chr20	9015548	9016039	1	1	0	0	False	1	1	0	0	TP
chr20	9188445	9189562	2	2	0	0	False	2	2	0	0	TP
chr20	10802676	10802958	1	1	1	0	True	2	2	0	0	TP
chr20	10977797	10977977	2	2	0	0	False	2	2	0	0	TP
chr20	13848164	13848649	3	3	1	0	True	3	3	0	0	TP
chr20	14485671	14485748	0	0	0	0	False	0	0	0	0	TN
chr20	14861937	14862741	5	5	5	1	True	15	15	0	0	TP
chr20	16226954	16228487	3	3	0	0	False	3	3	0	0	TP
chr20	16257741	16259345	2	2	2	0	True	4	4	1	0	FN
chr20	16395149	16395421	3	3	1	0	True	3	3	0	0	TP
chr20	16894360	16894435	1	1	0	0	False	1	1	0	0	TP
chr20	17081216	17081410	2	2	1	0	True	2	2	0	0	TP
chr20	17197123	17197241	2	2	0	0	False	2	2	0	0	TP
chr20	17303131	17303609	1	1	0	0	False	1	1	0	0	TP
chr20	18209097	18210727	3	3	2	1	True	5	5	0	0	TP
chr20	18675650	18675915	2	2	0	0	False	2	2	0	0	TP
chr20	19080758	19080827	0	0	0	0	False	0	0	0	0	TN
chr20	19663366	19663526	2	2	0	0	False	2	2	0	0	TP
chr20	20295955	20296565	2	2	2	1	True	3	3	0	0	TP
chr20	20320285	20320579	1	1	2	1	True	1	1	0	0	TP
chr20	20337200	20337707	1	1	6	2	True	3	3	0	0	TP
chr20	20354570	20358323	7	7	9	1	True	14	14	0	0	TP
chr20	20458640	20458937	2	2	0	0	False	2	2	0	0	TP
chr20	21120212	21120539	2	2	1	0	True	1	1	0	0	TP
chr20	21721174	21721735	2	2	1	0	True	3	3	0	0	TP
chr20	22081961	22084122	4	4	3	1	True	10	10	0	0	TP
chr20	22471831	22472129	2	2	0	0	False	2	2	0	0	TP
chr20	22882702	22882830	2	2	0	0	False	2	2	0	0	TP
chr20	23155504	23155975	3	3	2	2	True	5	5	0	0	TP
chr20	23267965	23268087	2	2	0	0	False	2	2	0	0	TP
chr20	23560883	23561191	1	1	2	2	True	3	3	0	0	TP
chr20	23942431	23942955	1	1	0	0	False	1	1	0	0	TP
chr20	24407983	24408997	3	3	1	0	True	2	2	0	0	TP
chr20	24681988	24682277	2	2	1	0	True	1	1	0	1	FP
chr20	24836081	24836384	2	2	0	0	False	2	2	0	0	TP
chr20	24956961	24957198	2	2	0	0	False	2	2	0	0	TP
chr20	24982027	24982423	1	1	0	0	False	1	1	0	0	TP
chr20	25067059	25068112	3	3	0	0	False	3	3	0	0	TP
chr20	25561369	25562321	2	2	0	0	False	2	2	0	0	TP
chr20	25781636	25781926	0	0	0	1	False	0	0	0	1	FP
chr20	29401872	29402283	0	0	0	0	False	0	0	0	0	TN
chr20	29799755	29799978	0	0	0	0	False	0	0	0	0	TN
chr20	30404513	30406201	0	0	0	0	False	0	0	0	0	TN
chr20	31689079	31689527	2	2	0	0	False	2	2	0	0	TP
chr20	32722424	32723212	0	0	1	0	True	0	0	0	0	TN
chr20	32723469	32724637	0	0	0	0	False	0	0	0	0	TN
chr20	32724927	32724999	0	0	0	0	False	0	0	0	0	TN
chr20	34205619	34205960	1	1	0	0	False	1	1	0	0	TP
chr20	34235750	34236213	0	0	2	1	True	2	2	0	0	TP
chr20	35539120	35539724	4	4	1	0	True	4	4	0	0	TP
chr20	35580013	35580886	1	1	2	1	True	7	7	0	0	TP
chr20	36642142	36642222	1	1	0	0	False	1	1	0	0	TP
chr20	37361752	37362058	2	2	1	0	True	2	2	0	0	TP
chr20	38123590	38124705	2	2	1	4	True	7	7	0	0	TP
chr20	38194533	38194666	2	2	0	0	False	2	2	0	0	TP
chr20	38313618	38315069	3	3	0	0	False	3	3	0	0	TP
chr20	38462931	38464783	2	2	2	0	True	4	4	0	0	TP
chr20	38895736	38896615	1	1	0	0	False	1	1	0	0	TP
chr20	40982703	40982942	2	2	0	0	False	2	2	0	0	TP
chr20	41196210	41196648	3	3	1	0	True	4	4	0	0	TP
chr20	41257574	41258203	0	0	0	1	False	0	0	0	1	FP
chr20	41278322	41278384	0	0	0	0	False	0	0	0	0	TN
chr20	41278746	41278815	0	0	0	0	False	0	0	0	0	TN
chr20	44763896	44764285	2	2	1	0	True	2	2	0	0	TP
chr20	45600569	45600746	2	2	2	0	True	2	2	0	0	TP
chr20	45773743	45774079	1	1	0	0	False	1	1	0	0	TP
chr20	46788807	46789530	2	2	0	0	False	2	2	0	0	TP
chr20	47225524	47225645	2	2	0	0	False	2	2	0	0	TP
chr20	47894414	47899005	3	3	0	0	False	3	3	0	0	TP
chr20	48390898	48391231	2	2	0	0	False	2	2	0	0	TP
chr20	48449705	48450461	4	4	2	0	True	6	6	0	0	TP
chr20	48811479	48811775	1	1	0	0	False	1	1	0	0	TP
chr20	48959359	48959652	2	2	0	0	False	2	2	0	0	TP
chr20	49834109	49834558	2	2	1	0	True	3	3	0	0	TP
chr20	50258450	50258551	2	2	0	0	False	2	2	0	0	TP
chr20	50300450	50301561	2	2	0	0	False	2	2	0	0	TP
chr20	50666148	50666893	2	2	0	0	False	2	2	0	0	TP
chr20	50775544	50776023	1	1	2	1	True	4	4	0	0	TP
chr20	50853639	50853928	2	2	0	0	False	2	2	0	0	TP
chr20	51061050	51061258	2	2	0	0	False	2	2	0	0	TP
chr20	51500592	51500880	2	2	0	0	False	2	2	0	0	TP
chr20	51651107	51651509	3	3	0	0	False	3	3	0	0	TP
chr20	51890756	51891014	1	1	0	0	False	1	1	0	0	TP
chr20	51952483	51954892	0	0	0	1	True	0	0	0	1	FP
chr20	52526077	52526294	1	1	0	0	False	1	1	0	0	TP
chr20	53203987	53204473	2	2	2	1	True	4	4	0	0	TP
chr20	53415642	53415860	2	2	0	0	False	2	2	0	0	TP
chr20	53913028	53913352	2	2	0	0	False	2	2	0	0	TP
chr20	54690771	54690873	2	2	0	0	False	2	2	0	0	TP
chr20	55532159	55533378	1	1	0	0	False	1	1	0	0	TP
chr20	55624482	55625807	6	6	6	0	True	11	11	0	0	TP
chr20	55627344	55628450	7	7	4	0	True	8	8	0	0	TP
chr20	55943919	55945807	2	2	2	1	True	5	5	0	0	TP
chr20	56280422	56282114	3	3	6	2	True	10	10	0	0	TP
chr20	56284258	56284407	2	2	0	0	False	2	2	0	0	TP
chr20	56710555	56711193	2	2	0	0	False	2	2	0	0	TP
chr20	57090672	57091411	1	1	2	0	True	4	4	0	0	TP
chr20	57110212	57110785	2	2	1	0	True	2	2	0	0	TP
chr20	57189946	57190540	0	0	3	1	True	1	1	0	0	TP
chr20	57350808	57350987	1	1	1	0	True	3	3	0	0	TP
chr20	57417271	57418234	2	2	0	0	False	2	2	0	0	TP
chr20	57780734	57781506	2	2	0	0	False	2	2	0	0	TP
chr20	57948798	57949490	1	1	4	1	True	5	5	0	0	TP
chr20	57974804	57975202	2	2	0	0	False	2	2	0	0	TP
chr20	58196700	58196936	2	2	0	0	False	2	2	0	0	TP
chr20	58309423	58309812	1	1	0	0	False	1	1	0	0	TP
chr20	58519902	58520372	2	2	0	0	False	2	2	0	0	TP
chr20	58694862	58695411	2	2	0	0	False	2	2	0	0	TP
chr20	59383804	59385235	3	3	2	0	True	4	4	0	0	TP
chr20	59442036	59442273	2	2	0	0	False	2	2	0	0	TP
chr20	60087391	60087965	2	2	0	0	False	2	2	0	0	TP
chr20	60314330	60315020	2	2	2	0	True	6	6	0	0	TP
chr20	60600107	60600320	1	1	0	0	False	1	1	0	0	TP
chr20	60702942	60703115	2	2	2	1	True	3	3	0	0	TP
chr20	60764031	60764634	2	2	0	0	False	2	2	0	0	TP
chr20	61045927	61046287	1	1	0	0	False	1	1	0	0	TP
chr20	61100792	61102687	1	1	4	1	True	3	3	0	0	TP
chr20	61176725	61176974	2	2	0	0	False	2	2	0	0	TP
chr20	61201683	61202474	2	2	4	1	True	7	7	0	0	TP
chr20	61229587	61229717	2	2	0	0	False	2	2	0	0	TP
chr20	61282506	61283669	4	4	2	0	True	6	6	0	0	TP
chr20	61289625	61290555	1	1	2	1	True	2	2	0	0	TP
chr20	61329258	61329577	0	0	0	2	False	0	0	0	2	FP
chr20	61331528	61331753	2	2	0	0	False	2	2	0	0	TP
chr20	61337205	61337590	2	2	0	0	False	2	2	0	0	TP
chr20	61399095	61399168	0	0	0	0	False	0	0	0	0	TN
chr20	61475406	61475726	2	2	0	0	False	2	2	0	0	TP
chr20	61561920	61562503	0	0	2	1	True	2	2	0	0	TP
chr20	61653427	61654067	1	1	0	0	False	1	1	0	0	TP
chr20	61723833	61724244	1	1	0	0	False	1	1	0	0	TP
chr20	61744188	61744654	2	2	1	0	True	2	2	0	0	TP
chr20	61783403	61784839	3	3	1	0	True	4	4	0	0	TP
chr20	61919676	61921374	2	2	0	0	False	2	2	0	0	TP
chr20	62057573	62059139	1	1	3	1	True	8	8	0	0	TP
chr20	62212844	62213874	4	4	0	0	False	4	4	0	0	TP
chr20	62270279	62271094	1	1	3	1	True	4	4	0	0	TP
chr20	62317837	62318459	2	2	0	0	False	2	2	0	0	TP
chr20	62321031	62321873	2	2	3	0	True	5	5	0	0	TP
chr20	62349612	62349932	1	1	5	1	True	7	7	0	0	TP
chr20	62360190	62360712	0	0	8	2	True	5	5	0	0	TP
chr20	62417424	62418062	3	3	0	0	False	3	3	0	0	TP
chr20	62422444	62422791	2	2	0	0	False	2	2	0	0	TP
chr20	62504279	62504614	2	2	0	0	False	2	2	0	0	TP
chr20	62622308	62622507	1	1	0	0	False	1	1	0	0	TP
chr20	62825034	62825239	2	2	0	0	False	2	2	0	0	TP
chr20	62830612	62830838	2	2	1	1	True	2	2	0	0	TP
chr20	62875172	62875556	2	2	3	0	True	3	3	0	0	TP
chr20	62975788	62976224	1	1	0	0	False	1	1	0	0	TP
chr20	62986310	62986805	2	2	0	0	False	2	2	0	0	TP
chr20	63027997	63028166	2	2	1	0	True	4	4	0	0	TP
chr20	63028876	63029402	2	2	0	1	True	2	2	0	0	TP
chr20	63049033	63049412	3	3	1	0	True	2	2	0	0	TP
chr20	63068409	63068799	2	2	0	0	False	2	2	0	0	TP
chr20	63103249	63103492	1	1	0	0	False	1	1	0	0	TP
chr20	63154585	63154995	1	1	1	0	True	2	2	0	0	TP
chr20	63156767	63157325	2	2	0	0	False	2	2	0	0	TP
chr20	63158183	63158726	2	2	0	0	False	2	2	0	0	TP
chr20	63167387	63167627	2	2	1	0	True	3	3	0	0	TP
chr20	63220180	63220559	1	1	0	0	False	1	1	0	0	TP
chr20	63221480	63221876	1	1	2	1	True	2	2	0	0	TP
chr20	63226486	63226652	1	1	0	0	False	1	1	0	0	TP
chr20	63234103	63234416	1	1	0	0	False	1	1	0	0	TP
chr20	63235329	63235450	2	2	0	0	False	2	2	0	0	TP
chr20	63250583	63250644	0	0	0	0	False	0	0	0	0	TN
chr20	63294079	63294266	2	2	0	0	False	2	2	0	0	TP
