chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp	state
chr20	278919	279079	3	3	1	0	False	3	3	1	0	FN
chr20	641902	642430	3	3	2	0	False	3	3	2	0	FN
chr20	2240950	2241300	1	1	5	1	True	1	1	4	1	FN,FP
chr20	4032347	4033238	2	2	2	1	True	1	1	2	1	FN,FP
chr20	5040466	5040487	0	0	0	2	False	0	0	0	2	FP
chr20	5041931	5042278	1	1	1	1	True	2	2	0	0	TP
chr20	7720942	7720978	1	1	1	0	False	1	1	1	0	FN
chr20	8661934	8662129	1	1	3	1	True	2	2	0	0	TP
chr20	10802717	10802854	1	1	1	0	False	1	1	1	0	FN
chr20	13848262	13848554	3	3	1	0	False	3	3	1	0	FN
chr20	14862044	14862654	5	5	5	1	True	4	4	1	0	FN
chr20	16257844	16259215	2	2	2	0	False	2	2	2	0	FN
chr20	16395191	16395383	3	3	1	0	False	3	3	1	0	FN
chr20	17081283	17081375	2	2	1	0	False	2	2	1	0	FN
chr20	18209129	18210144	3	3	2	1	True	5	5	0	1	FP
chr20	20296004	20296340	2	2	2	1	True	5	5	0	0	TP
chr20	20320329	20320529	1	1	2	1	True	3	3	0	0	TP
chr20	20337275	20337634	1	1	6	2	True	1	1	0	0	TP
chr20	20354902	20355445	3	3	1	0	False	3	3	1	0	FN
chr20	20356520	20357820	4	4	8	1	True	8	8	2	0	FN
chr20	21120288	21120471	2	2	1	0	False	2	2	1	0	FN
chr20	21721441	21721656	2	2	1	0	False	2	2	1	0	FN
chr20	22082256	22083915	4	4	3	1	True	3	3	4	1	FN,FP
chr20	23155568	23155867	3	3	2	2	True	3	3	1	1	FN,FP
chr20	23560929	23561108	1	1	2	2	True	2	2	0	0	TP
chr20	24408063	24408830	3	3	1	0	False	3	3	1	0	FN
chr20	24682056	24682135	2	2	1	0	False	2	2	1	0	FN
chr20	25781780	25781801	0	0	0	1	False	0	0	0	1	FP
chr20	32723034	32723055	0	0	1	0	False	0	0	1	0	FN
chr20	34235888	34235991	0	0	2	1	True	2	2	0	0	TP
chr20	35539202	35539592	4	4	1	0	False	4	4	1	0	FN
chr20	35580676	35580766	1	1	2	1	True	1	1	2	1	FN,FP
chr20	37361775	37361896	2	2	1	0	False	2	2	1	0	FN
chr20	38123789	38124013	2	2	1	4	True	1	1	2	3	FN,FP
chr20	38463987	38464354	2	2	2	0	False	2	2	2	0	FN
chr20	41196360	41196505	3	3	1	0	False	3	3	1	0	FN
chr20	41257704	41258013	0	0	0	1	False	0	0	0	1	FP
chr20	44764140	44764213	2	2	1	0	False	2	2	1	0	FN
chr20	45600645	45600705	2	2	2	0	False	2	2	2	0	FN
chr20	48449784	48450395	4	4	2	0	False	4	4	2	0	FN
chr20	49834172	49834479	2	2	1	0	False	2	2	1	0	FN
chr20	50775636	50775842	1	1	2	1	True	0	0	0	0	TN
chr20	51953809	51953830	0	0	0	1	False	0	0	0	1	FP
chr20	53204089	53204262	2	2	2	1	True	0	0	0	0	TN
chr20	55624798	55625662	6	6	6	0	False	6	6	6	0	FN
chr20	55627628	55628315	7	7	4	0	False	7	7	4	0	FN
chr20	55944262	55945185	2	2	2	1	True	1	1	2	0	FN
chr20	56280531	56281923	4	4	5	1	True	4	4	2	1	FN,FP
chr20	57090858	57091176	1	1	2	0	False	1	1	2	0	FN
chr20	57110440	57110603	2	2	1	0	False	2	2	1	0	FN
chr20	57190246	57190438	0	0	3	1	True	1	1	0	0	TP
chr20	57350846	57350930	1	1	1	0	False	1	1	1	0	FN
chr20	57948991	57949356	1	1	4	1	True	0	0	5	1	FN,FP
chr20	59384356	59384753	3	3	2	0	False	3	3	2	0	FN
chr20	60314433	60314721	2	2	2	0	False	2	2	2	0	FN
chr20	60702995	60703097	2	2	2	1	True	3	3	0	0	TP
chr20	61100911	61102415	1	1	4	1	True	4	4	0	0	TP
chr20	61201812	61202252	2	2	4	1	True	0	0	0	0	TN
chr20	61282915	61283489	4	4	2	0	False	4	4	2	0	FN
chr20	61289652	61290283	1	1	2	1	True	0	0	0	0	TN
chr20	61329335	61329451	0	0	0	2	False	0	0	0	2	FP
chr20	61562099	61562262	0	0	2	1	True	1	1	0	0	TP
chr20	61744391	61744602	2	2	1	0	False	2	2	1	0	FN
chr20	61783948	61784708	3	3	1	0	False	3	3	1	0	FN
chr20	62057592	62058778	1	1	3	1	True	1	1	0	0	TP
chr20	62270403	62270837	1	1	3	1	True	3	3	0	0	TP
chr20	62321386	62321740	2	2	3	0	False	2	2	3	0	FN
chr20	62349631	62349836	1	1	5	1	True	0	0	2	1	FN,FP
chr20	62360400	62360612	0	0	8	2	True	2	2	2	1	FN,FP
chr20	62830640	62830707	2	2	1	1	True	1	1	0	0	TP
chr20	62875231	62875414	2	2	3	0	False	2	2	3	0	FN
chr20	63028056	63029040	4	4	1	1	True	2	2	0	0	TP
chr20	63049083	63049169	3	3	1	0	False	3	3	1	0	FN
chr20	63154677	63154931	1	1	1	0	False	1	1	1	0	FN
