chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp	state
chr20	278799	279287	3	3	1	0	True	5	5	0	0	TP
chr20	420454	420871	2	2	0	0	False	2	2	0	0	TP
chr20	641735	642566	3	3	2	0	True	5	5	0	0	TP
chr20	709628	710076	2	2	0	0	False	2	2	0	0	TP
chr20	1149706	1150321	2	2	0	0	False	2	2	0	0	TP
chr20	1257832	1260629	2	2	0	0	False	2	2	0	0	TP
chr20	1301498	1302768	2	2	0	0	False	2	2	0	0	TP
chr20	2442865	2444044	2	2	0	0	False	2	2	0	0	TP
chr20	4032118	4033702	2	2	2	1	True	4	4	0	0	TP
chr20	4482484	4482835	2	2	0	0	False	2	2	0	0	TP
chr20	4844637	4845007	2	2	0	0	False	2	2	0	0	TP
chr20	5039848	5040600	0	0	0	2	True	0	0	0	2	FP
chr20	7435114	7435850	2	2	0	0	False	2	2	0	0	TP
chr20	8661810	8662758	1	1	3	1	True	9	9	0	0	TP
chr20	10977696	10978078	2	2	0	0	False	2	2	0	0	TP
chr20	13848063	13848750	3	3	1	0	True	3	3	0	0	TP
chr20	14861836	14862842	5	5	5	1	True	15	15	0	0	TP
chr20	16226853	16228588	3	3	0	0	False	3	3	0	0	TP
chr20	16395048	16395522	3	3	1	0	True	3	3	0	0	TP
chr20	17081115	17081511	2	2	0	0	False	2	2	0	0	TP
chr20	17197022	17197342	2	2	0	0	False	2	2	0	0	TP
chr20	18208996	18210828	3	3	2	1	True	5	5	0	0	TP
chr20	18675549	18676016	2	2	0	0	False	2	2	0	0	TP
chr20	19663265	19663627	2	2	0	0	False	2	2	0	0	TP
chr20	20337099	20337808	1	1	6	2	True	3	3	0	0	TP
chr20	20354469	20358424	7	7	8	1	True	14	14	0	0	TP
chr20	20458539	20459038	2	2	0	0	False	2	2	0	0	TP
chr20	21120111	21120640	2	2	0	0	False	2	2	0	0	TP
chr20	21721073	21721836	2	2	1	0	True	3	3	0	0	TP
chr20	22471730	22472230	2	2	0	0	False	2	2	0	0	TP
chr20	22882601	22882931	2	2	0	0	False	2	2	0	0	TP
chr20	23155403	23156076	3	3	2	2	True	5	5	0	0	TP
chr20	23267864	23268188	2	2	0	0	False	2	2	0	0	TP
chr20	23942330	23943056	1	1	0	0	False	1	1	0	0	TP
chr20	24681887	24682378	2	2	1	0	True	2	2	0	0	TP
chr20	24835980	24836485	2	2	0	0	False	2	2	0	0	TP
chr20	24956860	24957299	2	2	0	0	False	2	2	0	0	TP
chr20	25066958	25068213	3	3	0	0	False	3	3	0	0	TP
chr20	25561268	25562422	2	2	0	0	False	2	2	0	0	TP
chr20	31688978	31689628	2	2	0	0	False	2	2	0	0	TP
chr20	32722323	32723313	0	0	1	0	True	0	0	1	0	FN
