chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp
chr20	29401872	29402284	0	0	0	0	False	0	0	0	0
chr20	64065853	64066012	0	0	0	1	False	0	0	0	1
chr20	38194533	38194667	2	2	0	0	False	2	2	0	0
chr20	17081216	17081411	2	2	1	0	False	2	2	1	0
chr20	55532159	55533379	1	1	0	0	False	1	1	0	0
chr20	44763896	44764286	2	2	1	0	False	2	2	1	0
chr20	63535674	63536246	1	1	2	0	False	1	1	2	0
chr20	23942431	23942956	1	1	0	0	False	1	1	0	0
chr20	25067059	25068113	3	3	0	0	False	3	3	0	0
chr20	1149807	1150221	2	2	0	0	False	2	2	0	0
chr20	24836081	24836385	2	2	0	0	False	2	2	0	0
chr20	38462931	38464784	2	2	2	0	False	2	2	2	0
chr20	56710555	56711194	2	2	0	0	False	2	2	0	0
chr20	61331528	61331754	2	2	0	0	False	2	2	0	0
chr20	1257933	1260529	2	2	0	0	False	2	2	0	0
chr20	22882702	22882831	2	2	0	0	False	2	2	0	0
chr20	53415642	53415861	2	2	0	0	False	2	2	0	0
chr20	25781636	25781927	0	0	0	1	False	0	0	0	1
chr20	5041857	5042710	1	1	1	1	True	2	2	0	1
chr20	61282506	61283670	4	4	2	0	False	4	4	2	0
chr20	53203987	53204474	2	2	2	1	True	7	7	1	1
chr20	61919676	61921375	2	2	0	0	False	2	2	0	0
chr20	62830612	62830839	2	2	1	1	True	2	2	0	0
chr20	63049033	63049413	3	3	1	0	False	3	3	1	0
chr20	30404513	30406202	0	0	0	0	False	0	0	0	0
chr20	61201683	61202475	2	2	4	1	True	8	8	0	0
chr20	51952483	51954893	0	0	0	1	False	0	0	0	1
chr20	20458640	20458938	2	2	0	0	False	2	2	0	0
chr20	48811479	48811776	1	1	0	0	False	1	1	0	0
chr20	51061050	51061259	2	2	0	0	False	2	2	0	0
chr20	64090704	64091390	0	0	0	2	False	0	0	0	2
chr20	63028876	63029403	2	2	0	1	False	2	2	0	1
chr20	61475406	61475727	2	2	0	0	False	2	2	0	0
chr20	63167387	63167628	2	2	1	0	False	2	2	1	0
chr20	21120212	21120540	2	2	1	0	False	2	2	1	0
chr20	64096658	64097165	0	0	0	2	False	0	0	0	2
chr20	709729	709976	2	2	0	0	False	2	2	0	0
chr20	45773743	45774080	1	1	0	0	False	1	1	0	0
chr20	61337205	61337591	2	2	0	0	False	2	2	0	0
chr20	14861937	14862742	5	5	5	1	True	13	13	0	0
chr20	63553294	63553758	1	1	0	0	False	1	1	0	0
chr20	23560883	23561192	1	1	2	2	True	6	6	0	0
chr20	20337200	20337708	1	1	6	2	True	8	8	2	0
chr20	24681988	24682278	2	2	1	0	False	2	2	1	0
chr20	8661911	8662658	1	1	3	1	True	6	6	0	0
chr20	19080758	19080828	1	1	0	0	False	1	1	0	0
chr20	57350808	57350988	1	1	1	0	False	1	1	1	0
chr20	10802676	10802959	1	1	1	0	False	1	1	1	0
chr20	62321031	62321874	2	2	3	0	False	2	2	3	0
chr20	63747282	63747608	2	2	0	0	False	2	2	0	0
chr20	21721174	21721736	2	2	1	0	False	2	2	1	0
chr20	57780734	57781507	2	2	0	0	False	2	2	0	0
chr20	58694862	58695412	2	2	0	0	False	2	2	0	0
chr20	38313618	38315070	3	3	0	0	False	3	3	0	0
chr20	23267965	23268088	2	2	0	0	False	2	2	0	0
chr20	4482585	4482735	2	2	0	0	False	2	2	0	0
chr20	63103249	63103493	1	1	0	0	False	1	1	0	0
chr20	34235750	34236214	0	0	2	1	True	2	2	0	0
chr20	61744188	61744655	2	2	1	0	False	2	2	1	0
chr20	2842574	2842998	2	2	0	0	False	2	2	0	0
chr20	63372065	63372692	2	2	1	0	False	2	2	1	0
chr20	62504279	62504615	2	2	0	0	False	2	2	0	0
chr20	64125109	64127975	3	3	3	0	False	3	3	3	0
chr20	19663366	19663527	2	2	0	0	False	2	2	0	0
chr20	63824631	63825145	2	2	0	0	False	2	2	0	0
chr20	63158183	63158727	2	2	0	0	False	2	2	0	0
chr20	50775544	50776024	1	1	2	1	True	5	5	0	0
chr20	63546436	63546843	1	1	0	0	False	1	1	0	0
chr20	54690771	54690874	2	2	0	0	False	2	2	0	0
chr20	62825034	62825240	2	2	0	0	False	2	2	0	0
chr20	63068409	63068800	2	2	0	0	False	2	2	0	0
chr20	1301599	1302668	2	2	0	0	False	2	2	0	0
chr20	63294079	63294267	2	2	0	0	False	2	2	0	0
chr20	51890756	51891015	1	1	0	0	False	1	1	0	0
chr20	56280422	56282115	3	3	6	2	True	11	11	0	0
chr20	18675650	18675916	2	2	0	0	False	2	2	0	0
chr20	61723833	61724245	1	1	0	0	False	1	1	0	0
chr20	60600107	60600321	1	1	0	0	False	1	1	0	0
chr20	57974804	57975203	2	2	0	0	False	2	2	0	0
chr20	64201854	64202099	3	3	0	0	False	3	3	0	0
chr20	62270279	62271095	1	1	3	1	True	3	3	0	0
chr20	64173409	64176530	4	4	7	3	True	20	20	1	1
chr20	63491589	63493065	1	1	3	1	True	3	3	0	0
chr20	62622308	62622508	1	1	0	0	False	1	1	0	0
chr20	63948514	63948759	2	2	1	1	True	4	4	0	0
chr20	53913028	53913353	2	2	0	0	False	2	2	0	0
chr20	63693325	63693885	1	1	6	1	True	10	10	0	0
chr20	22081961	22084123	4	4	3	1	True	12	12	0	0
chr20	278900	279187	3	3	1	0	False	3	3	1	0
chr20	2240925	2241727	1	1	5	1	True	5	5	0	0
chr20	46788807	46789531	2	2	0	0	False	2	2	0	0
chr20	48449705	48450462	4	4	2	0	False	4	4	2	0
chr20	17303131	17303610	1	1	0	0	False	1	1	0	0
chr20	49834109	49834559	2	2	1	0	False	2	2	1	0
chr20	18209097	18210728	3	3	2	1	True	5	5	0	0
chr20	63303655	63304859	2	2	0	0	False	2	2	0	0
chr20	63156767	63157326	2	2	0	0	False	2	2	0	0
chr20	16257741	16259346	2	2	2	0	False	2	2	2	0
chr20	61176725	61176975	2	2	0	0	False	2	2	0	0
chr20	7720911	7721004	1	1	1	0	False	1	1	1	0
chr20	50300450	50301562	2	2	0	0	False	2	2	0	0
chr20	45600569	45600747	2	2	2	0	False	2	2	2	0
chr20	58196700	58196937	2	2	0	0	False	2	2	0	0
chr20	22471831	22472130	2	2	0	0	False	2	2	0	0
chr20	40982703	40982943	2	2	0	0	False	2	2	0	0
chr20	62417424	62418063	3	3	0	0	False	3	3	0	0
chr20	63226486	63226653	1	1	0	0	False	1	1	0	0
chr20	57090672	57091412	1	1	2	0	False	1	1	2	0
chr20	41196210	41196649	3	3	1	0	False	3	3	1	0
chr20	7719330	7719415	1	1	0	0	False	1	1	0	0
chr20	56284258	56284408	2	2	0	0	False	2	2	0	0
chr20	63221480	63221877	1	1	2	1	True	2	2	0	0
chr20	24982027	24982424	1	1	0	0	False	1	1	0	0
chr20	63450491	63450614	2	2	0	0	False	2	2	0	0
chr20	29799755	29799979	0	0	0	0	False	0	0	0	0
chr20	62975788	62976225	1	1	0	0	False	1	1	0	0
chr20	13848164	13848650	3	3	1	0	False	3	3	1	0
chr20	59383804	59385236	3	3	2	0	False	3	3	2	0
chr20	62422444	62422792	2	2	0	0	False	2	2	0	0
chr20	24956961	24957199	2	2	0	0	False	2	2	0	0
chr20	38895736	38896616	1	1	0	0	False	1	1	0	0
chr20	63770912	63771104	0	0	0	2	False	0	0	0	2
chr20	32724927	32725000	0	0	0	0	False	0	0	0	0
chr20	59442036	59442274	2	2	0	0	False	2	2	0	0
chr20	32723469	32724638	0	0	0	0	False	0	0	0	0
chr20	25561369	25562322	2	2	0	0	False	2	2	0	0
chr20	57189946	57190541	0	0	3	1	True	4	4	0	0
chr20	63234103	63234417	1	1	0	0	False	1	1	0	0
chr20	62317837	62318460	2	2	0	0	False	2	2	0	0
chr20	36642142	36642223	1	1	0	0	False	1	1	0	0
chr20	57417271	57418235	2	2	0	0	False	2	2	0	0
chr20	63027997	63028167	2	2	1	0	False	2	2	1	0
chr20	63220180	63220560	1	1	0	0	False	1	1	0	0
chr20	57948798	57949491	1	1	4	1	True	5	5	0	0
chr20	63235329	63235451	2	2	0	0	False	2	2	0	0
chr20	63401702	63402320	1	1	0	0	False	1	1	0	0
chr20	63879305	63880535	1	1	0	0	False	1	1	0	0
chr20	64157894	64158977	2	2	0	0	False	2	2	0	0
chr20	63250583	63250645	0	0	0	1	False	0	0	0	1
chr20	63853670	63854027	1	1	0	0	False	1	1	0	0
chr20	34205619	34205961	1	1	0	0	False	1	1	0	0
chr20	62057573	62059140	1	1	3	1	True	8	8	0	0
chr20	64011722	64013002	2	2	0	0	False	2	2	0	0
chr20	30145045	30155369	0	0	0	0	False	0	0	0	0
chr20	30924407	30943028	0	0	0	1	False	0	0	0	1
chr20	35539120	35539725	4	4	1	0	False	4	4	1	0
chr20	63486763	63487417	2	2	0	0	False	2	2	0	0
chr20	57110212	57110786	2	2	1	0	False	2	2	1	0
chr20	55943919	55945808	2	2	2	1	True	5	5	0	4
chr20	9188445	9189563	2	2	0	0	False	2	2	0	0
chr20	61045927	61046288	1	1	0	0	False	1	1	0	0
chr20	7435215	7435750	2	2	0	0	False	2	2	0	0
chr20	61229587	61229718	2	2	0	0	False	2	2	0	0
chr20	63964768	63966618	1	1	1	0	False	1	1	1	0
chr20	41278322	41278385	0	0	0	0	False	0	0	0	0
chr20	64233048	64233546	2	2	0	0	False	2	2	0	0
chr20	62212844	62213875	4	4	0	0	False	4	4	0	0
chr20	63641779	63642136	1	1	2	1	True	5	5	0	0
chr20	17197123	17197242	2	2	0	0	False	2	2	0	0
chr20	55624482	55625808	6	6	6	0	False	6	6	6	0
chr20	61329258	61329578	0	0	0	2	False	0	0	0	2
chr20	41278746	41278816	0	0	0	0	False	0	0	0	0
chr20	51500592	51500881	2	2	0	0	False	2	2	0	0
chr20	61399095	61399169	1	1	0	0	False	1	1	0	0
chr20	61289625	61290556	1	1	2	1	True	6	6	3	2
chr20	64134883	64136387	3	3	1	0	False	3	3	1	0
chr20	9015548	9016040	1	1	0	0	False	1	1	0	0
chr20	60702942	60703116	2	2	2	1	True	3	3	0	0
chr20	23155504	23155976	3	3	2	2	True	7	7	0	0
chr20	420555	420771	2	2	0	0	False	2	2	0	0
chr20	24407983	24408998	3	3	1	0	False	3	3	1	0
chr20	61653427	61654068	1	1	0	0	False	1	1	0	0
chr20	55627344	55628451	7	7	4	0	False	7	7	4	0
chr20	32722424	32723213	0	0	1	0	False	0	0	1	0
chr20	16395149	16395422	3	3	1	0	False	3	3	1	0
chr20	48959359	48959653	2	2	0	0	False	2	2	0	0
chr20	20295955	20296566	2	2	2	1	True	3	3	0	0
chr20	64042716	64043062	1	1	0	0	False	1	1	0	0
chr20	61561920	61562504	0	0	2	1	True	2	2	0	0
chr20	2442966	2443944	2	2	0	0	False	2	2	0	0
chr20	60314330	60315021	2	2	2	0	False	2	2	2	0
chr20	50258450	50258552	2	2	0	0	False	2	2	0	0
chr20	58309423	58309813	1	1	0	0	False	1	1	0	0
chr20	62360190	62360713	0	0	8	2	True	5	5	0	0
chr20	52526077	52526295	1	1	0	0	False	1	1	0	0
